                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.8143,                0.23344,                0.80116,                0.81081,                0.64083,                0.34615,                0.33247,                0.07665,                0.35764,                0.34615,                0.27524,                0.06265,                   2.81,                 3.9415,                 2.2428,                 1.1324,               0.007723,               0.007723,               0.007723
                     25,                 1.5772,                0.09988,                0.69459,                0.76425,                0.75365,                0.38462,                0.41157,                0.13087,                0.49747,                0.26923,                0.25589,                 0.0403,                 2.8651,                 3.7841,                 1.7851,                 1.1596,               0.007624,               0.007624,               0.007624
                     26,                 1.6667,                0.05081,                0.68772,                 0.7706,                0.73282,                0.30769,                0.38121,                0.08988,                 0.5367,                0.30769,                0.31099,                0.05413,                 3.3219,                 3.2974,                  1.654,                 1.2127,               0.007525,               0.007525,               0.007525
                     27,                 1.7695,                0.07909,                0.75652,                 0.8224,                0.46489,                0.42308,                0.38222,                0.10101,                 0.4206,                0.38462,                0.25972,                0.06481,                  2.867,                 3.3242,                 1.6973,                 1.0971,               0.007426,               0.007426,               0.007426
                     28,                  1.878,                0.04055,                0.80526,                0.86916,                0.52271,                0.34615,                0.36686,                0.12146,                0.29596,                0.33972,                0.22983,                0.06358,                 2.9382,                 3.5225,                 2.0188,                 1.1483,               0.007327,               0.007327,               0.007327
                     29,                 1.5311,                0.10192,                0.69558,                0.78359,                0.70908,                0.42308,                0.49575,                0.14996,                0.38087,                0.34615,                0.26543,                0.05188,                  2.737,                 3.8464,                  1.412,                 1.0983,               0.007228,               0.007228,               0.007228
                     30,                 1.6745,                0.14782,                0.71619,                0.80794,                0.62173,                0.30769,                0.32268,                0.08141,                0.39456,                0.30769,                0.17967,                  0.041,                 2.7832,                 4.1555,                 1.8066,                 1.0586,               0.007129,               0.007129,               0.007129
                     31,                 1.7815,                0.07336,                0.71571,                0.84271,                 0.5628,                0.34615,                0.35619,                0.09932,                0.39951,                0.26923,                0.20639,                0.04942,                 2.7604,                 3.8964,                 1.5833,                 1.1197,                0.00703,                0.00703,                0.00703
                     32,                 1.5655,                0.09628,                0.72444,                0.82756,                0.57532,                0.34615,                0.29461,                0.06383,                0.27922,                0.22377,                0.13954,                0.02045,                 2.9041,                 4.2552,                 2.0396,                 1.1127,               0.006931,               0.006931,               0.006931
                     33,                 1.6875,                 0.1557,                0.84478,                0.81785,                0.65132,                0.30769,                 0.2804,                0.08342,                0.38999,                0.19231,                 0.1129,                 0.0372,                 2.8628,                 4.8001,                  2.018,                 1.1119,               0.006832,               0.006832,               0.006832
                     34,                 1.4457,                0.12669,                0.80151,                0.79888,                0.30703,                0.42308,                0.22187,                0.06838,                0.21782,                0.26923,                0.10634,                0.03589,                 2.9387,                 4.1544,                 2.1956,                 1.0964,               0.006733,               0.006733,               0.006733
